scope,block,field,persisted,validated,renderer_read,direct_typed_authoring,meta_kind,macro_reachable,normal_ui,advanced_ui,dependency,behavioral_status,evidence_test
canonical_fx_109,fx,pure_continuous,yes,heuristic-gap,yes,heuristic,check,no,no,yes,-,open,
canonical_fx_109,fx,size,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,intensity,yes,yes,yes,heuristic,amount,heuristic-template,no,yes,-,open,
canonical_fx_109,fx,pattern_scale,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,fringe,yes,yes,yes,verified,amount,heuristic-template,no,yes,-,verified:capability_parity,capability_parity
canonical_fx_109,fx,rgb,yes,yes,yes,heuristic,amount,heuristic-template,no,yes,-,open,
canonical_fx_109,fx,flow,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,dither,yes,yes,yes,heuristic,amount,heuristic-template,no,yes,-,open,
canonical_fx_109,fx,base_mode,yes,yes,yes,heuristic,option,no,no,yes,-,open,
canonical_fx_109,fx,base_opacity,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,base_grade_amount,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,grade_black_point,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,grade_white_point,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,grade_gamma,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,grade_contrast,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,grade_brightness,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,grade_saturation,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,source_pixel_size,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,source_pixel_units,yes,yes,yes,heuristic,option,no,no,yes,-,open,
canonical_fx_109,fx,mono_threshold,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,mono_mode,yes,yes,yes,heuristic,option,no,no,yes,-,open,
canonical_fx_109,fx,mono_bayer_level,yes,yes,yes,heuristic,int,no,no,yes,-,open,
canonical_fx_109,fx,mono_pixel,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,mono_space,yes,yes,yes,heuristic,option,no,no,yes,-,open,
canonical_fx_109,fx,dither_threshold,yes,yes,yes,no,compat,no,no,no,-,"compatibility_only/legacy_dead_surface (no control, no semantic)",noted
canonical_fx_109,fx,dither_black_point,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,dither_white_point,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,dither_gamma,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,dither_contrast,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,dither_brightness,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,dither_mode,yes,yes,yes,heuristic,option,no,no,yes,-,open,
canonical_fx_109,fx,dither_bayer_level,yes,yes,yes,heuristic,int,no,no,yes,-,open,
canonical_fx_109,fx,dither_pixel,yes,yes,yes,verified,amount,heuristic-template,no,yes,-,verified:capability_parity,capability_parity
canonical_fx_109,fx,dither_levels,yes,yes,yes,heuristic,int,heuristic-template,no,yes,-,open,
canonical_fx_109,fx,dither_space,yes,yes,yes,heuristic,option,heuristic-template,no,yes,-,open,
canonical_fx_109,fx,edge_source_mode,yes,yes,yes,verified,option,no,no,yes,-,verified:mask_contract,mask_contract
canonical_fx_109,fx,edge_alpha_weight,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,edge_luma_weight,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,edge_threshold,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,edge_width,yes,yes,yes,heuristic,amount,heuristic-template,no,yes,-,open,
canonical_fx_109,fx,wind_reach,yes,yes,yes,heuristic,amount,heuristic-template,no,yes,-,open,
canonical_fx_109,fx,wind_trail,yes,yes,yes,heuristic,amount,heuristic-template,no,yes,-,open,
canonical_fx_109,fx,wind_cutoff,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,split_separation,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,wind_displace,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,signal_gain,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,color_blur,yes,yes,yes,heuristic,amount,heuristic-template,no,yes,-,open,
canonical_fx_109,fx,signal_softness,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,signal_posterize,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,fringe_coverage_mode,yes,yes,yes,heuristic,option,no,no,yes,-,open,
canonical_fx_109,fx,fringe_coverage_threshold,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,fringe_bayer_level,yes,yes,yes,heuristic,int,no,no,yes,-,open,
canonical_fx_109,fx,fringe_pixel,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,fringe_space,yes,yes,yes,heuristic,option,no,no,yes,-,open,
canonical_fx_109,fx,fringe_coverage_gain,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,rgb_gradient,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,rgb_gradient_balance,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,rgb_gradient_contrast,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,fringe_color_a,yes,yes,yes,heuristic,color,no,no,yes,-,open,
canonical_fx_109,fx,fringe_color_b,yes,yes,yes,heuristic,color,no,no,yes,-,open,
canonical_fx_109,fx,fringe_bleed,yes,yes,yes,heuristic,amount,heuristic-template,no,yes,-,open,
canonical_fx_109,fx,fringe_blend_mode,yes,yes,yes,heuristic,option,no,no,yes,-,open,
canonical_fx_109,fx,geometry_units,yes,yes,yes,heuristic,option,no,no,yes,-,open,
canonical_fx_109,fx,effect_mask_enabled,yes,yes,yes,verified,check,no,no,yes,-,verified:mask_contract,mask_contract
canonical_fx_109,fx,effect_mask_invert,yes,heuristic-gap,yes,heuristic,check,no,no,yes,-,open,
canonical_fx_109,fx,effect_mask_threshold,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,effect_mask_softness,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,effect_mask_base,yes,heuristic-gap,yes,heuristic,check,no,no,yes,-,open,
canonical_fx_109,fx,edge_mask_path,yes,yes,yes,no,rejected,no,no,no,asset/incomplete-state,verified:mask_contract,mask_contract
canonical_fx_109,fx,treatment_mask_path,yes,yes,yes,verified,asset,no,no,yes,asset/incomplete-state,verified:mask_contract,mask_contract
canonical_fx_109,fx,driver_mode,yes,yes,yes,heuristic,option,no,no,yes,-,open,
canonical_fx_109,fx,driver_sampling_mode,yes,yes,yes,heuristic,option,no,no,yes,-,open,
canonical_fx_109,fx,driver_pixel_size,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,FIELD_STRENGTH,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,FIELD_SPEED,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,OUTWARDNESS,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,FIELD_BREAKUP,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,COORD_NUDGE,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,FIELD_SIZE,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,FIELD_CENTER_X,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,FIELD_CENTER_Y,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,LEGACY_SCALE,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,LEGACY_SPEED,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,LEGACY_RADIAL,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,DRIVER_CENTER_X,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,DRIVER_CENTER_Y,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,DRIVER_SCALE,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,DRIVER_STRETCH,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,DRIVER_ANGLE,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,DRIVER_SPEED,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,DRIVER_DETAIL,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,DRIVER_FLOW,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,flow_strength,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
